year,births
2026,120481307.926
2027,118901781.122
2028,117322254.318
2029,115742727.514
2030,114163200.71000001
2031,113058115.32800001
2032,111953029.94600001
2033,110847944.56400001
2034,109742859.18200001
2035,108637773.80000001
2036,107541695.87200001
2037,106445617.944
2038,105349540.01599999
2039,104253462.08799998
2040,103157384.15999998
2041,102570644.31199999
2042,101983904.46399999
2043,101397164.616
2044,100810424.76799999
2045,100223684.92
2046,99187122.92
2047,98150560.91999999
2048,97113998.91999999
2049,96077436.91999997
2050,95040874.91999997
2051,93596417.53199998
2052,92151960.14399998
2053,90707502.75599998
2054,89263045.36799999
2055,87818587.97999999
2056,86334328.776
2057,84850069.572
2058,83365810.36799999
2059,81881551.16399999
2060,80397291.96
2061,79182667.86199999
2062,77968043.764
2063,76753419.666
2064,75538795.568
2065,74324171.47
2066,73325474.282
2067,72326777.094
2068,71328079.906
2069,70329382.718
2070,69330685.53
2071,68412960.8
2072,67495236.07
2073,66577511.339999996
2074,65659786.61
2075,64742061.879999995
2076,63827974.01399999
2077,62913886.147999994
2078,61999798.28199999
2079,61085710.41599999
2080,60171622.54999999
2081,59239423.17999999
2082,58307223.80999999
2083,57375024.43999999
2084,56442825.069999985
2085,55510625.69999999
2086,54613012.04399999
2087,53715398.388
2088,52817784.73199999
2089,51920171.076
2090,51022557.42
2091,50192100.616000004
2092,49361643.812
2093,48531187.008
2094,47700730.203999996
2095,46870273.4
2096,46160227.282
2097,45450181.164
2098,44740135.046
2099,44030088.927999996
2100,43320042.809999995
