year,births
2026,137517570.362
2027,138957563.014
2028,140397555.66599998
2029,141837548.318
2030,143277540.97
2031,145000284.87399998
2032,146723028.778
2033,148445772.68199998
2034,150168516.586
2035,151891260.48999998
2036,153684803.19399998
2037,155478345.89799997
2038,157271888.60199997
2039,159065431.30599996
2040,160858974.00999996
2041,161559944.69599998
2042,162260915.38199997
2043,162961886.068
2044,163662856.75399998
2045,164363827.44
2046,165109719.44799998
2047,165855611.456
2048,166601503.464
2049,167347395.472
2050,168093287.48
2051,168895295.532
2052,169697303.584
2053,170499311.636
2054,171301319.688
2055,172103327.74
2056,173175023.132
2057,174246718.524
2058,175318413.916
2059,176390109.308
2060,177461804.7
2061,178044158.204
2062,178626511.70799997
2063,179208865.21199998
2064,179791218.71599996
2065,180373572.21999997
2066,180908357.85199997
2067,181443143.48399997
2068,181977929.11599997
2069,182512714.74799997
2070,183047500.37999997
2071,183363420.95999998
2072,183679341.54
2073,183995262.11999997
2074,184311182.7
2075,184627103.28
2076,184851404.194
2077,185075705.108
2078,185300006.02199998
2079,185524306.936
2080,185748607.85
2081,186006349.84
2082,186264091.82999998
2083,186521833.82
2084,186779575.80999997
2085,187037317.79999998
2086,187368543.92599997
2087,187699770.052
2088,188030996.17799997
2089,188362222.304
2090,188693448.42999998
2091,188975396.16399997
2092,189257343.89799997
2093,189539291.632
2094,189821239.366
2095,190103187.1
2096,190360777.472
2097,190618367.84399998
2098,190875958.216
2099,191133548.58799997
2100,191391138.95999998
